"text","diggCount","replyCommentTotal","createTimeISO","uniqueId","videoWebUrl","uid","cid"
"Not working smoothly, but awesome idea 👍 Will looking forward to IT","1166","3","2023-10-22T17:44:29.000Z","julia_band","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6789223008408486917","7292840117604041480"
"this is exactly what we needed","8451","2","2023-10-20T04:10:36.000Z","guhlenee","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6722223843262219269","7291888086631678763"
"so just like a finsta?","2461","4","2023-10-20T18:40:23.000Z","doroseeya","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6748934819638543365","7292112123459060511"
"It’s not available in Europe yet?","1431","8","2023-10-20T07:58:31.000Z","kirkejoost","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","53857917090668544","7291946804235731744"
"so is it sort of like Be Real?","699","4","2023-10-20T13:01:36.000Z","_.dry_shampoo._","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6992575038076814341","7292024910700167969"
"I can’t find the app!!!! 😭💔","152","18","2023-10-20T05:01:47.000Z","ailes_dange_douces3","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6595963818256449542","7291901198843413279"
"We need it on android pleaseeeeee","943","20","2023-10-20T06:17:03.000Z","ajvar.edits","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6970047341579666438","7291920574858330913"
"Once we get funding we can hopefully make it!","575",,"2023-10-20T10:15:41.000Z","ahmadnabihah","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6906931558952502278","7291981983465538346"
"crying in samsung :,)","736","13","2023-10-20T07:39:08.000Z","alralva","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6921716193905722373","7291941727421481761"
"this is amazing. won an award for creating a better instagram too! would love to connect!!!","2243","3","2023-10-20T02:04:39.000Z","milllibillie","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6825009997476561925","7291855739587494699"
"Omg no way!","252",,"2023-10-20T03:45:14.000Z","ahmadnabihah","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6906931558952502278","7291881552321069867"
"why isn't it on android!!!","10","11","2023-10-22T14:37:29.000Z","liz1.4.5.8","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6991521746998985733","7292791858593301280"
"Android requires different programming language to make their apps!","13",,"2023-10-22T14:40:20.000Z","ahmadnabihah","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6906931558952502278","7292792576309527339"
"is it on Samsung phones?? I want to download it","9","2","2023-10-20T22:31:52.000Z","jasminerainbowofficial","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6887534683967964166","7292171894751773473"
"Haven’t found it in appstore🥺","32","4","2023-10-20T12:19:54.000Z","vindisindicated","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","7148504120444765189","7292014182269846305"
"Anyone wanna be friends in there?? (Dunno how the friends work)","29","24","2023-10-20T09:56:43.000Z","elenaorellanaa","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","119904591202119680","7291977289037038368"
"This app is gonna blow up sm, good luck!!","262","1","2023-10-19T23:12:16.000Z","pedropascalloverxxx","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","7230859807204443163","7291810866093343521"
"👀👀👀","13",,"2023-10-19T23:13:11.000Z","ahmadnabihah","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6906931558952502278","7291811492098048814"
"someone tell me when it comes to android europe 🩷","62","1","2023-10-20T10:45:46.000Z","leftistpizzaroll","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","82646026259415040","7291989904308568865"
"pls tell me the privacy is better than meta and insta","54","1","2023-10-21T23:30:46.000Z","ladyshaadi","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6535735596218848271","7292558011687813921"
"100%%%%","18",,"2023-10-21T23:48:40.000Z","ahmadnabihah","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6906931558952502278","7292562802715247403"
"It says action can’t be completed on the link tree and I can’t find it on the App Store 😕","11","8","2023-10-20T00:07:07.000Z","sofiaaa_878","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","7104437871629730858","7291825386173629215"
"I truly hope this app grows because social media should feel like this again!🥰","67","1","2023-10-20T23:54:50.000Z","marirodqz","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6806080645278909445","7292193330481251115"
"Yes Omg!","4",,"2023-10-20T23:59:46.000Z","ahmadnabihah","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6906931558952502278","7292194587905688366"
"I feel like ppl have become such silent watchers on ig and I’ve been wanting to delete but love posting my pics for meee. This is perfect!!","2072","5","2023-10-20T21:17:06.000Z","finessuhh","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","307147840005357568","7292152637138928427"
"Exactlyyy","61",,"2023-10-21T01:38:03.000Z","ahmadnabihah","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6906931558952502278","7292219913544401707"
"Okay so hire me fr","46","2","2023-10-20T00:32:06.000Z","tammyleeinnyc","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6766981943144170502","7291831845657641733"
"Lol bet","11",,"2023-10-20T00:39:47.000Z","ahmadnabihah","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6906931558952502278","7291833841609098027"
"Yeah there’s a lot of traffic.","5",,"2023-10-22T17:55:06.000Z","ahmadnabihah","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6906931558952502278","7292842756091020074"
"Working on scaling! Everyone wants the app!","4",,"2023-10-22T19:37:20.000Z","getmoment","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","7207317515538924590","7292869123326853930"
"Moment! here I come","2",,"2023-10-23T08:33:21.000Z","shiwashnidevi","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6743787821108052997","7293069177324471047"
"This comment made me so happy","13",,"2023-10-20T04:44:38.000Z","ahmadnabihah","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6906931558952502278","7291896890990314286"
"you go girl!! make social medias enjoyable again!","30","1","2023-10-20T10:43:16.000Z","kermitto","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6740572636823110661","7291989225780200224"
"Hopefully we can fix social media 😎","3",,"2023-10-20T11:33:30.000Z","ahmadnabihah","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6906931558952502278","7292002215664026414"
"How do you make friends? I just made an account bc I love the idea! Does anyone want to share @?","6","2","2023-10-22T15:25:28.000Z",".mac14","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6617937003479007238","7292804267365204779"
"Not available in Canada:(","6","4","2023-10-23T03:31:36.000Z","sgcustoms_","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6881384768417580038","7292991385329566469"
"is it just for yourself? want to know more about how it works but seems to be a cute photo diary","7","2","2023-10-20T11:22:57.000Z","nesstri","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6835660161370244101","7291999521671578400"
"Girl i wanna support but the link on ur linktree doesn’t allow me to open appstore and when i search it up on there it doesn’t show either.. help","8","2","2023-10-22T14:25:15.000Z","reva.inejih","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6923661937466000390","7292788775078544133"
"Click the profile I tagged and use the link on there","3",,"2023-10-22T14:28:46.000Z","ahmadnabihah","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6906931558952502278","7292789582436811563"
"crying in android :(","20","0","2023-10-20T23:59:05.000Z","nikamiko___","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6847193484920112130","7292194236051718944"
"yeah basically but it’s funner because there’s more to play with than with insta. It even does it in a timeline so you can see it by dates","274",,"2023-10-21T00:15:56.000Z","deanazuritaa","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6845867688222049286","7292198752172852011"
"Omg I’m so happy you said this","24",,"2023-10-21T01:37:08.000Z","ahmadnabihah","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6906931558952502278","7292219678197678890"
"You can even back date it so it’s based off the date that you experienced it rather than the date that you published it","81",,"2023-10-21T00:16:24.000Z","deanazuritaa","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6845867688222049286","7292198865945183022"
"This is soooo cool","0",,"2023-10-22T21:51:12.000Z","vaniillacupcakes","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6724083079696499718","7292903650414134022"
"crying in Xiaomi","28",,"2023-10-20T13:48:56.000Z","pinkmilkteahime","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6719564410643514373","7292037140769866529"
